Social Scinece,Economics,ECON101,0.400686873,0.927891028,0.344814639,0.652765613,0.593040581
Social Scinece,Economics,ECON201,0.958324871,0.873298311,0.275082269,0.434128341,0.552498024
Social Scinece,Economics,ECON202,0.706683261,0.143640114,0.094108324,0.590130464,0.5187532
Social Scinece,Economics,ECON203,0.365495562,0.159684174,0.733586517,0.929992865,0.188747662
Social Scinece,Economics,ECON204,0.981736505,0.488670013,0.453270436,0.629281801,0.174206204
Social Scinece,Economics,ECON211,0.090993935,0.478291671,0.700394915,0.469082747,0.222673674
Social Scinece,Economics,ECON310,0.256162273,0.509826668,0.323332606,0.177832891,0.67002963
Social Scinece,Economics,ECON314,0.374807586,0.043805162,0.344205492,0.495050307,0.347265479
Social Science ,Chinese Society and Cultrue,CHSC107,0.202314141,0.612448145,0.175398814,0.495000351,0.555660093
Social Science,Global China Studies,GCHINA203,0.710960789,0.482963307,0.447359007,0.032205591,0.302251098
Social Science,Global China Studies,GCHINA301,0.814239123,0.587580519,0.603035479,0.79967678,0.046513758
Social Science,Global China Studies,GCHINA390,0.352178262,0.499857872,0.956932684,0.519873047,0.94002731
Social Science,Global China Studies,GCHINA401,0.073999778,0.253040703,0.542525721,0.119929469,0.105622236
Social Science,Global China Studies,GCHINA490,0.556780335,0.307571985,0.928355952,0.405398608,0.72002904
Social Science,Global Culture Studies,GCHULS105,0.696719592,0.467377496,0.93605856,0.109312544,0.872233883
Social Science,Global Culture Studies,GCHULS108,0.343700812,0.515830583,0.34680268,0.602664452,0.297458001
Social Science,Global Culture Studies,GCHULS390,0.948636583,0.712477287,0.059364078,0.545911971,0.82424136
Social Science,Global Culture Studies,GCHULS405,0.806125817,0.799972835,0.396784235,0.801790383,0.953704217
Social Science,Global Culture Studies,GCHULS490,0.774658999,0.727673521,0.513380232,0.597280484,0.483559862
Social Science,Institutions and Governance,INSTGOV490,0.701879394,0.367408488,0.476382655,0.269373696,0.951501006
Social Science,Political Economy,POLECON201,0.864304909,0.378805006,0.148612791,0.236329961,0.246867842
Social Science,Political Economy,POLECON301,0.378187632,0.12817122,0.77587361,0.987533682,0.146542001
Social Science,Political Economy,POLECON302,0.968642474,0.171760994,0.489653413,0.238458442,0.938157701
Social Science,Political Economy,POLECON401,0.709743516,0.642010252,0.814068002,0.897985159,0.701979412
Social Science,Political Economy,POLECON490,0.083960752,0.581949338,0.631881778,0.096992002,0.632432024
Social Science,Political Science,POLSCI101,0.564806512,0.393452398,0.69710592,0.567834789,0.426200134
Social Science,Political Science,POLSCI302,0.725706453,0.798580796,0.746530961,0.200046331,0.51811097
Social Science,Political Science,POLSCI307,0.413072344,0.662178948,0.553506552,0.237116684,0.974998865
Social Science,Political Science,POLSCI313,0.796560689,0.416021233,0.707128572,0.510665823,0.250414773
Social Science,Public Policy,PUBPOL101,0.869141224,0.423975433,0.57595723,0.267662316,0.374377667
Social Science,Public Policy,PUBPOL106,0.469890357,0.764681489,0.984771916,0.330706172,0.384751952
Social Science,Public Policy,PUBPOL301,0.201452235,0.992801642,0.17820525,0.364245739,0.357699029
Social Science,Public Policy,PUBPOL303,0.909550535,0.073788993,0.493000078,0.9923215,0.503304635
